Entity,Code,Year,Total across all levels,Total across all levels (Original Year)
Afghanistan,AFG,2023,4899548828,2017
Albania,ALB,2023,1485914062,2022
Algeria,DZA,2023,11681594726,
Andorra,AND,2023,106645668,
Argentina,ARG,2023,64512031250,2022
Armenia,ARM,2023,1499071777,
Australia,AUS,2023,86975968750,2021
Austria,AUT,2023,33641597656,2021
Azerbaijan,AZE,2023,6963050292,2022
Bahrain,BHR,2023,1938391357,2017
Bangladesh,BGD,2023,11822244140,2019
Barbados,BRB,2023,190411407,
Belarus,BLR,2023,13483891601,
Belgium,BEL,2023,49222945312,2021
Belize,BLZ,2023,213982574,
Benin,BEN,2023,1226189819,2018
Bhutan,BTN,2023,658835388,2018
Bolivia,BOL,2023,9618643554,2021
Bosnia and Herzegovina,BIH,2023,2694577148,2021
Brazil,BRA,2023,222873281250,2021
Brunei,BRN,2023,1530458374,2016
Bulgaria,BGR,2023,10435737304,2021
Burkina Faso,BFA,2023,2773851562,2018
Burundi,BDI,2023,559964355,2018
Cambodia,KHM,2023,1677483642,2018
Cameroon,CMR,2023,3902927001,2018
Canada,CAN,2023,96205226562,2021
Cape Verde,CPV,2023,208854156,2019
Chad,TCD,2023,937060485,2021
Chile,CHL,2023,30331193359,2021
Comoros,COM,2023,66528816,2015
Congo,COG,2023,1143491577,2018
Costa Rica,CRI,2023,8106400878,2021
Cote d'Ivoire,CIV,2023,7444147949,
Croatia,HRV,2023,6196227539,2021
Cyprus,CYP,2023,2446126220,2021
Czechia,CZE,2023,25893830078,2021
Democratic Republic of Congo,COD,2023,1699608886,2017
Denmark,DNK,2023,31354744140,2021
Djibouti,DJI,2023,239597625,2018
Dominica,DMA,2023,55210289,2020
East Timor,TLS,2023,390936981,2018
Ecuador,ECU,2023,10845172851,
El Salvador,SLV,2023,2443331542,
Estonia,EST,2023,3419253906,2021
Eswatini,SWZ,2023,705773132,2014
Ethiopia,ETH,2023,7687093750,2014
Fiji,FJI,2023,419683105,2013
Finland,FIN,2023,22440816406,2021
France,FRA,2023,207492281250,2021
Gabon,GAB,2023,1174866088,2014
Gambia,GMB,2023,161097274,2018
Georgia,GEO,2023,3347795898,
Germany,DEU,2023,299105437500,2021
Ghana,GHA,2023,7945555664,2018
Greece,GRC,2023,14028684570,2019
Grenada,GRD,2023,63930068,2017
Guatemala,GTM,2023,7595461914,
Guinea,GIN,2023,1266713500,2020
Guinea-Bissau,GNB,2023,72950408,2013
Guyana,GUY,2023,489694366,2018
Haiti,HTI,2023,669631591,2018
Honduras,HND,2023,2982103515,
Hungary,HUN,2023,18820875000,2021
Iceland,ISL,2023,2118303955,2021
India,IND,2023,480482406250,2021
Indonesia,IDN,2023,109398687500,2015
Iran,IRN,2023,35312531250,2022
Ireland,IRL,2023,18847160156,2021
Israel,ISR,2023,28842126953,2021
Italy,ITA,2023,133675343750,2021
Jamaica,JAM,2023,1455149169,2022
Jordan,JOR,2023,3520895019,2022
Kazakhstan,KAZ,2023,19561117187,2019
Kenya,KEN,2023,12179375000,2018
Kyrgyzstan,KGZ,2023,2173580078,2021
Laos,LAO,2023,1336678466,2014
Latvia,LVA,2023,3463346191,2021
Lebanon,LBN,2023,2453507812,2013
Lesotho,LSO,2023,456888549,2018
Liberia,LBR,2023,186876556,2021
Lithuania,LTU,2023,5997979980,2021
Luxembourg,LUX,2023,3509688964,2021
Madagascar,MDG,2023,1410123046,2018
Malawi,MWI,2023,1002194885,2018
Malaysia,MYS,2023,41448406250,2020
Maldives,MDV,2023,334357360,2016
Mali,MLI,2023,2455062255,2021
Malta,MLT,2023,1562975463,2021
Marshall Islands,MHL,2023,22174720,2022
Mauritania,MRT,2023,1558608886,
Mauritius,MUS,2023,1431964111,
Mexico,MEX,2023,124365296875,2021
Micronesia (country),FSM,2023,54729598,2015
Moldova,MDA,2023,2763658203,
Mongolia,MNG,2023,1975173461,2017
Mozambique,MOZ,2023,2576254882,2018
Myanmar,MMR,2023,7395214355,2019
Nepal,NPL,2023,5057647949,2018
Netherlands,NLD,2023,69636320312,2021
New Zealand,NZL,2023,14004760742,2022
Nicaragua,NIC,2023,1567166870,
Niger,NER,2023,1289830810,2018
Norway,NOR,2023,45817570312,2021
Oman,OMN,2023,8251152343,2022
Pakistan,PAK,2023,26413462890,2019
Palestine,PSE,2023,1621687377,2021
Panama,PAN,2023,5368790527,2022
Papua New Guinea,PNG,2023,794233886,2018
Paraguay,PRY,2023,3938853515,
Peru,PER,2023,23466673828,
Poland,POL,2023,76101648437,2021
Portugal,PRT,2023,20733718750,2021
Puerto Rico,PRI,2023,9164271484,2014
Qatar,QAT,2023,9967682617,2020
Romania,ROU,2023,26138113281,2021
Russia,RUS,2023,273201875000,2018
Rwanda,RWA,2023,1940951049,
Saint Kitts and Nevis,KNA,2023,37478870,2021
Saint Lucia,LCA,2023,108445793,
Saint Vincent and the Grenadines,VCT,2023,93655471,2018
Samoa,WSM,2023,51692058,2016
Sao Tome and Principe,STP,2023,71810630,2018
Senegal,SEN,2023,4782568359,2022
Serbia,SRB,2023,5409588867,2022
Seychelles,SYC,2023,121873291,2016
Sierra Leone,SLE,2023,1293163696,2022
Singapore,SGP,2023,17898548828,2022
Slovakia,SVK,2023,10501900390,2021
Slovenia,SVN,2023,5671363769,2021
South Africa,ZAF,2023,52742125000,
South Korea,KOR,2023,126499585937,2021
Spain,ESP,2023,106992882812,2021
Sri Lanka,LKA,2023,6805573242,2018
Sweden,SWE,2023,52665718750,2021
Switzerland,CHE,2023,39109351562,2021
Tajikistan,TJK,2023,1397964111,2015
Tanzania,TZA,2023,6630735839,2018
Thailand,THA,2023,56243804687,2013
Togo,TGO,2023,883533264,2018
Trinidad and Tobago,TTO,2023,1369510498,
Tunisia,TUN,2023,9633765625,2015
Turkey,TUR,2023,109267906250,2021
Tuvalu,TUV,2023,8140370,
Uganda,UGA,2023,2177502441,2018
Ukraine,UKR,2023,41070976562,2021
United Arab Emirates,ARE,2023,26900597656,2021
United Kingdom,GBR,2023,192433609375,2021
United States,USA,2023,1210540625000,2021
Uruguay,URY,2023,5051994628,2022
Uzbekistan,UZB,2023,14019171875,2021
Vanuatu,VUT,2023,22676359,2020
Vietnam,VNM,2023,37127199218,2018
Zambia,ZMB,2023,3325606445,2018
Zimbabwe,ZWE,2023,1227974487,2018